Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
13,2019,4 weeks, All Redfin Metros,metro,12/17/2018,1/13/2019,47795,0.036363242,3.60%
41,2019,4 weeks, All Redfin Metros,metro,1/14/2019,2/10/2019,74761,-0.00550715,-0.60%
48,2019,4 weeks, All Redfin Metros,metro,1/21/2019,2/17/2019,75540,-0.034361098,-3.40%
111,2019,4 weeks, All Redfin Metros,metro,3/25/2019,4/21/2019,101440,0.016015465,1.60%
132,2019,4 weeks, All Redfin Metros,metro,4/15/2019,5/12/2019,103866,-0.027690407,-2.80%
160,2019,4 weeks, All Redfin Metros,metro,5/13/2019,6/9/2019,103396,-0.003037286,-0.30%
174,2019,4 weeks, All Redfin Metros,metro,5/27/2019,6/23/2019,102370,-0.003824334,-0.40%
209,2019,4 weeks, All Redfin Metros,metro,7/1/2019,7/28/2019,90749,-0.029183649,-2.90%
230,2019,4 weeks, All Redfin Metros,metro,7/22/2019,8/18/2019,89485,-0.028487987,-2.80%
237,2019,4 weeks, All Redfin Metros,metro,7/29/2019,8/25/2019,88428,-0.020644132,-2.10%
258,2019,4 weeks, All Redfin Metros,metro,8/19/2019,9/15/2019,84457,0.004340484,0.40%
314,2019,4 weeks, All Redfin Metros,metro,10/14/2019,11/10/2019,73177,-0.01419892,-1.40%
5,2020,4 weeks, All Redfin Metros,metro,12/9/2019,1/5/2020,40356,-0.047083825,-4.70%
47,2020,4 weeks, All Redfin Metros,metro,1/20/2020,2/16/2020,78101,0.033902568,3.40%
75,2020,4 weeks, All Redfin Metros,metro,2/17/2020,3/15/2020,91959,0.058009365,5.80%
145,2020,4 weeks, All Redfin Metros,metro,4/27/2020,5/24/2020,82479,-0.221675946,-22.20%
271,2020,4 weeks, All Redfin Metros,metro,8/31/2020,9/27/2020,94939,0.112257928,11.20%
285,2020,4 weeks, All Redfin Metros,metro,9/14/2020,10/11/2020,95055,0.137810921,13.80%
334,2020,4 weeks, All Redfin Metros,metro,11/2/2020,11/29/2020,69214,0.170381142,17.00%
17,2021,4 weeks, All Redfin Metros,metro,12/21/2020,1/17/2021,52035,-0.002969918,-0.30%
6,2019,4 weeks, All Redfin Metros,metro,12/10/2018,1/6/2019,42350,0.00279409,0.30%
20,2019,4 weeks, All Redfin Metros,metro,12/24/2018,1/20/2019,55527,0.022295456,2.20%
